PortName,PortLat,PortLong
Port of Mostyn,53.321000000000005,-3.2631
Kozushima Harbor,34.21,139.13
Port de la Pointe Rouge,43.244,5.3656
Felixstowe Port,51.95399999999999,1.3022
Duncan Bay Harbor,50.074,-125.29
Port of Husnes,59.873999999999995,5.7633
Port of Matanzas,23.051,-81.539
Nasva Harbor,58.216,22.395
Hammer Havn,55.278,14.755999999999998
Port of Rouses Point,44.995,-73.359
Malacca Port,2.2489,102.13
Port of Sandnessjoen,66.023,12.625
Port of Barahona,18.212,-71.08800000000001
Port of Rota,36.619,-6.3353
Port of Mananjary,-21.249000000000002,48.332
Port of Bar,42.093,19.083
Port of Sortland,68.705,15.421
Port of Ganzhou,25.854,114.93
Port of Songjiang,31.008000000000003,121.22
Port of Saint Marc,19.109,-72.703
Port of Trivandrum,8.4631,76.92399999999999
Port of Chenglingji,29.441999999999997,113.14
Port of Raufarhofn,66.456,-15.946
Port of Howden,53.732,-0.8533299999999999
Port of Cotonou,6.3467,2.4256
Tomil Harbour,9.5133,138.12
Port of Kirkenes,69.72800000000001,30.059
Port of Tema,5.6319,0.011667
Muggia Harbor,45.606,13.767000000000001
Miyake Harbor,34.079,139.56
Port of Sand Point,55.325,-160.51
Port of Bharuch,21.676,72.54
Porto di Meta,40.646,14.405999999999999
Port of Valdivia,-39.817,-73.232
Port of Paimboeuf,47.288999999999994,-2.0281
Port of Digang,31.123,118.0
Port of Havelberg,52.827,12.074000000000002
Port of Saratov,51.486000000000004,45.975
Port of Palopo,-2.9878,120.21
Saulte Ste Marie Harbor,46.513999999999996,-84.344
Port of Cebu,10.306,123.93
Glasgow Harbour,55.863,-4.305
Izumi Harbor,32.128,130.33
Port of Kenitra-Mehdia,34.27,-6.5811
Porto di Numana,43.51,13.625
Port of Ballina,54.133,-9.1372
Port of Aviles,43.57899999999999,-5.9219
Cobh Harbor,51.849,-8.2947
Lubec Harbor,44.86,-66.986
Port of Dumaguete,9.3119,123.31
Port of Domvrena,38.222,22.95
Port of Kalmar,56.659,16.371
Port of Mutsuogawara,40.946,141.39
Port of Mersin,36.797,34.645
Graemsay Pier,58.931000000000004,-3.2672
Graemsay Pier,58.931000000000004,-3.2675
Port of Porlakshofn,63.86,-21.37
Port of Kenosha,42.586999999999996,-87.814
Quathiaski Cove Harbor,50.047,-125.22
Bridport Harbour,50.711000000000006,-2.7631
Port of Tuscaloosa,33.203,-87.61
Port of Zhenjiang,32.221,119.43
Port Pirie,-33.177,138.01
Port of Sao Cristovao,-11.009,-37.224000000000004
Port of Le Larivot,4.9028,-52.36
Icdas Jetty,40.455,27.301
Caolis Harbor,56.946000000000005,-7.5333
Port of Napier,-39.475,176.92
Port of Antirrio,38.330999999999996,21.768
Havneby Havn,55.086999999999996,8.5683
Porto di Santo Stefano al Mare,43.838,7.9117
Eling Harbor,50.911,-1.4811
Port of Balboa,8.9556,-79.57
Port of Miragoane,18.45,-73.107
Port of Santa Ana,7.0572,125.6
Edgartown Harbor,41.386,-70.507
Port of Kingsville,42.026,-82.73299999999999
Port of Naantali,60.45399999999999,22.058000000000003
Port of Rostov-on-Don,47.211000000000006,39.713
Port of Savanna La Mar,18.208,-78.134
Port of Malpe,13.345999999999998,74.699
Port of La Guaira,10.603,-66.944
Port of Yokosuka,35.304,139.66
Port of Maputo,-25.973000000000003,32.561
Port of Pamfilla,39.159,26.531
Port of  Amuay Bay,11.748,-70.214
Port of Haut Indre,47.192,-1.6444
Port of Ufa,54.74100000000001,55.92
Wyandotte Harbor,42.21,-83.145
Port of Theoule-sur-Mer,43.508,6.9392
Port of Verdal,63.787,11.437000000000001
Port Wallhamn,58.00899999999999,11.7
Puerto de Guimar,28.291999999999998,-16.375
Port of Ajaccio,41.92,8.7419
Port of Floro,61.598,5.0044
Ominato Harbor,41.253,141.14
Port of Waukegan,42.361999999999995,-87.821
Port of Phuket,7.8189,98.405
Port of Sauzon,47.373000000000005,-3.2181
Port of Dalvik,65.973,-18.527
Ports of Auckland,-36.836,174.77
Port of Bangui,4.3569,18.577
Port of Astrakhan,46.333,47.994
