index,PortName,LAT1,LAT2,LAT3,LONG1,LONG2,LONG3,HarborSize,HarborType,LAT,LONG
139,CORNWALL,45,1,N,74,44,W,V,LC,45.016666666666666,-74.73333333333333
140,CARDINAL,44,47,N,75,23,W,V,LC,44.78333333333333,-75.38333333333334
141,LOWER LAKES TERMINAL,44,44,N,75,28,W,S,RN,44.733333333333334,-75.46666666666667
142,BROCKVILLE,44,35,N,75,40,W,V,CN,44.583333333333336,-75.66666666666667
143,ROCKPORT,44,23,N,75,56,W,V,RN,44.38333333333333,-75.93333333333334
144,GANANOQUE,44,20,N,76,10,W,V,RN,44.333333333333336,-76.16666666666667
145,WOLFE ISLAND,44,12,N,76,26,W,V,RN,44.2,-76.43333333333334
146,KINGSTON,44,14,N,76,30,W,V,CN,44.233333333333334,-76.5
147,OGDENSBURG,44,42,N,75,30,W,S,RN,44.7,-75.5
148,ALEXANDRIA BAY,44,20,N,75,55,W,V,RN,44.333333333333336,-75.91666666666667
149,CLAYTON,44,14,N,76,3,W,V,RN,44.233333333333334,-76.05
150,MILLHAVEN,44,12,N,76,44,W,V,CN,44.2,-76.73333333333333
151,PICTON,44,1,N,77,8,W,V,CN,44.016666666666666,-77.13333333333334
152,BELLEVILLE,44,9,N,77,24,W,S,CN,44.15,-77.4
153,TRENTON,44,6,N,77,34,W,S,RN,44.1,-77.56666666666666
154,COBOURG,43,57,N,78,10,W,S,CB,43.95,-78.16666666666667
155,PORT HOPE,43,56,N,78,17,W,S,CB,43.93333333333333,-78.28333333333333
156,CONTRECOUR,45,53,N,73,12,W,V,RN,45.88333333333333,-73.2
157,OSHAWA,43,52,N,78,49,W,S,CB,43.86666666666667,-78.81666666666666
158,PORT WHITBY,43,51,N,78,56,W,S,CB,43.85,-78.93333333333334
159,TORONTO,43,37,N,79,23,W,M,CN,43.61666666666667,-79.38333333333334
160,PORT CREDIT,43,33,N,79,35,W,V,CB,43.55,-79.58333333333333
161,CLARKSON,43,30,N,79,36,W,V,OR,43.5,-79.6
162,OAKVILLE,43,26,N,79,40,W,V,CB,43.43333333333333,-79.66666666666667
163,BRONTE,43,24,N,79,43,W,V,CB,43.4,-79.71666666666667
164,HAMILTON,43,15,N,79,51,W,M,CN,43.25,-79.85
165,PORT DALHOUSIE,43,13,N,79,16,W,V,CB,43.21666666666667,-79.26666666666667
166,PORT WELLER,43,14,N,79,13,W,S,RT,43.233333333333334,-79.21666666666667
167,WELLAND,43,0,N,79,15,W,S,LC,43.0,-79.25
168,THOROLD,43,5,N,79,43,W,S,LC,43.083333333333336,-79.71666666666667
169,ST CATHERINE,43,11,N,79,17,W,V,LC,43.18333333333333,-79.28333333333333
170,NIAGARA,43,15,N,79,4,W,V,RN,43.25,-79.06666666666666
171,QUEENSTON,43,10,N,79,4,W,V,RN,43.166666666666664,-79.06666666666666
172,CHAUMONT,44,4,N,76,8,W,V,CN,44.06666666666667,-76.13333333333334
173,SACKETS HARBOR,43,57,N,76,7,W,V,CN,43.95,-76.11666666666666
174,OSWEGO,43,28,N,76,31,W,S,RN,43.46666666666667,-76.51666666666667
175,SODUS BAY,43,16,N,76,59,W,V,CN,43.266666666666666,-76.98333333333333
176,ROCHESTER,43,16,N,77,36,W,S,RN,43.266666666666666,-77.6
177,YOUNGSTOWN,43,15,N,79,3,W,V,RN,43.25,-79.05
178,PORT COLBORNE,42,53,N,79,15,W,S,LC,42.88333333333333,-79.25
179,PORT MAITLAND,42,51,N,79,35,W,S,RB,42.85,-79.58333333333333
180,PORT DOVER,42,47,N,80,12,W,V,RN,42.78333333333333,-80.2
